Content,Rate
Le vrai goût de pizza faite avec un soin et bonne qualité de fromage italien.  Bravo ,5
L’ ambiance est au top,5
"Un vrai cauchemar,  un restaurant vraiment a éviter, accueil 0,  la bouffe est dégueulasse,  ambiance zéro. ",1
"Un restaurant qui te donne l impression d être dans un mac Donald ou quelque chose comme ca mais il n a rien de tous cela,  la bouffe est tres classique,mauvais rapport qualité prix, un kebab a 10 et 13 dinar ne contient rien que de la viande et harissa,",2.6
"Service rapide
Cadre sympathique
Des plats délicieux",3.6
"Le service et bien
Merci a tt l'equipes",5
Le service et bien. Merci a tt l'equipes,5
Le service et bien. Merci a tt l'equipes,5
Tres bon mais l'accueil n'est pas très chaleureux ,4
Super cadre.... ambiance extra... équipe très serviable... chapeau à Zied.,4.6
Vraiment  service nul ptit dej nul rien à dire c la honte ,1
Vraiment  service nul ptit dej nul rien à dire c la honte ,1
Le meilleur tacos qui puisse exister fel mestir,4.8
Y a pas mieux pour un verre avec vue sur mer,4.4
C'est le seul que je préfère 👌🤩,4.4
C'est le seul que je préfère 👌🤩,4
Conseillé pour un groupe d'amis,3.2
Conseillé pour un groupe d'amis,3.2
Le prix par rapport au qualité de repas est bon 😋,3.8
"Un style ""outside the box"" , j'apprecie l'accueil et le staff est sympa. ",3.6
"La bouffe est bonne, prix raisonnable.. ",4.2
Notre selon de thé préférée 😍,5
Un service de qualité on y mange très bien je le recommande vivement. ,4.4
Trop chère ,4
Excellent j adore cette endroit je le recommande pour les adepte de la gastronomie Tunisienne ,4
Trop chère je le recommande pour les dîner d'affaires ,4
Excellent fricassée je le. Recommande ;) ,4.8
Pourquoi vous ne mettez pas un menu? Si non j'ai hâte de venir avec mes amis! ,3.6
"Service impeccable la bouffe elle est trop bonne  surtt la ravioli norvégienne, les coctail sont top fait avec amour .. si non quoi que les lundi il ya la remise de 50% mais a évité ce jours la car ya trop de monde du coup le service devient trop long :)",3.6
"Service trop long , rapport qualité prix chère .. mais jai testé leur plat escalope farcie au fromage et épinards et J ai adoré franchement;)",2.4
"Le prix de bière est 5.5 , service nul en plus les bières  sont ouvertes ",1.2
J'y été hier soirée rock ambiance très conviviale très bon service faut juste réglé la carte par exemple la bouteille de red ici c'est 290 par contre sur leur menu c'est 320 aussi pour la smirnoff ici c'est à 170 et sur leur carte a 210 dt sinon c'est top,4.2
J'y été hier soirée rock ambiance très conviviale très bon service faut juste réglé la carte par exemple la bouteille de red ici c'est 290 par contre sur leur menu c'est 320 aussi pour la smirnoff ici c'est à 170 et sur leur carte a 210 dt sinon c'est top,4.2
J'y été hier soirée rock ambiance très conviviale très bon service faut juste réglé la carte par exemple la bouteille de red ici c'est 290 par contre sur leur menu c'est 320 aussi pour la smirnoff ici c'est à 170 et sur leur carte a 210 dt sinon c'est top,4.2
J'y été hier soirée rock ambiance très conviviale très bon service faut juste réglé la carte par exemple la bouteille de red ici c'est 290 par contre sur leur menu c'est 320 aussi pour la smirnoff ici c'est à 170 et sur leur carte a 210 dt sinon c'est top,4.2
"Cool people good vibes 
Il m'ont accordé un petit déjeuner à 21:30 
That's so awesome love it?",3.8
"Très calme le dimanche ce que j'apprécie le plus pour se débarrasser d'un dimanche après midi ennuyeux. Ce qui est changé est la planche servi avec la signature ( auparavant c'est une planche mixte, mais maintenant c'est seulement des fingers!  Au même prix)",2.8
"Comme on dit Les apparences sont trompeuses, il n y'a rien d exceptionnel dans cette patisserie, gâteau tres classic, prix élevé par rapport au qualité ",1.8
Excellent grâce à une équipe très dédiée. Un excellent café et un service exceptionnel ,4.8
Une bonne ambiance décontracté ,4.2
La qualité du jus est bonne,4.2
Le gateaux est délicieux ,4
Un endroit trés calme,3.6
Jadore cet endroit 😍,5
Place agréable 🤩,4
Faut améliorer un peu le service ,3.4
À recommander surtout pour les couples 😉,4
Mauvais Rapport qualité prix,2.4
"Service sympa, l'équipe est accueillante",4
Ça était une  bonne soirée ,3.4
endroit adorable,5
"Un acceuil plus que déplorable, avec un agent de sécurité avec un manque total de respect envers le client.

Ce qui est sûr c'est que je n'y remettrais jamais les pieds.",1
Meilleur spot de Tunis pour écouter du bon son et boire un bon cocktail !,5
Trés trés magnifique ,3.8
Un endroit trés sympa mais il faut résoudre le problème des place ,4
Un endroit trés cool ,5
Très bien,5
Une bonne bouffe surtout la spécialité tunisienne,4.6
"Le petit dej (j'ai oublié son nom) mais il est en duo, est très bon. C'est une quantité de 3 personnes juste notre amie a ajouté un petit dej avec café venoiserie et jus. Le seul bémol est la durée d attente entre la prise de la commande, nettoyage des tables et le service. 
À refaire ❤👌",4.4
Magnifique ,5
"Nous avons passé un excellent moment au Bohëme. Cadre superbe, le temps nous a permis de déjeuner en terrasse, face à la mer. Nous avons goûté en entrée les os à moelle et le saumon fumé maison au bois de hêtre, un vrai régal! En plat nous avons commandé un tartare de bœuf, parfaitement préparé et assaisonné ainsi que des rougets, à tomber! Le tout accompagné du vin Axel D. Le service était un sans faute, nous avons très bien été conseillés, autant sur les plats que sur le vin. Nous reviendrons souvent au Bohëme, qui est maintenant dans notre  top five des meilleurs restos à la Goulette.",5
Excellent et très bon 😋 ,5
J'aime leur service ,5
Qualité prix raisonnable ,5
Une vraie spécialité mexicaine sous les mêmes normes,5
"Manifique surtout la bouffe elle est délicieuse.
Accueil ya3mil il kif ",4.6
Un service au top + nourriture très bonne et surtout très propre. A recommander fortement !,5
Magnifique,4
Tout est excellent.,3.6
"La bouffe est bonne par rapport au prix, surtout les pizzas très délicieuses 🍕🌮
",4
Le prix n'est pas celui affiché ,2.8
Un peu cher mais très bon pour une partie de billard 😁😁,3.6
Super endroit que j'ai trop bien apprécié 🤩🤩😋,4.6
"Le cheesecake était moyen. Toutefois le service était bien ainsi que l'ambiance.
",4.8
"J ete dessu vue la reputation de ce restaurant 
La boufe ete loin de mes estimations   , les pris sont tres elevee et la cuisine est assez movaise
They have to review their kitchen",2
"Les portiers sont des clochards. 
En etais des clients fidels. Mais malheuresement les proprieteres ykhadmou f security team emmasskhin w mahomch professional .",1
Elle est magnifique ❤️,4
"Pas de bouffe ni de thé avant 15h , bonne ambiance .",3.2
Rapport qualité prix 0/10 on a pris une marguarita c'est du jus de citron les nuggets étaient trop cuits non mangeables bref tmanik ,1.4
Je n'ai rien à dire côté service et ambiance mais un zéro pour la qualité des produits. Nous avons eu un cheese cake et du salé et c'était quasi non comestible. Le rapport qualité-prix est bien évidemment nul. ,2
"Bonne qualité 
Espace calme et chic",3.4
"Un vrai délice
Ambiance, accueil et surtout la propreté au top...
W mana7kilkomch 3al banna, takel wraha sweb3ek, quantité généreuse ",5
"Le service est top, la bouffe est délicieuse, I recommend it! ",4.4
"Excellent restaurant :accueil chaleureux, pas cher, on mange bien... ",5
"J'ai essayé le adana kabeb poulet et le adana wrap et c'était bon , un nouveau gout à essayer, j'ai aimé la place malgré que c'était un peut encombré ",3.8
Magnifique ,3.6
"J ai trouvé une agrafe d agraffeuse dans mon plât (Carbonara) merci encore Ah Table !
Ps: j ai payé mon plat.",1
"Beaucoup de bagarre 
Les agents de sécurité sont impolie 
Ont doit payer nos boissons  avant de rentrer même 
La musique est bonne et le prix d'une bière c'est 7d pas 5d",1.2
"Il est un excellent choix, bonne continuation ",4.6
Dommage que les tacos ne sont plus servis avec des frites. ,3.4
"J ete surpris par la qualitee de la cuisine , les menu sont delicieux et satisfaisant
Il faut compter 50 dinars par persone.",4.6
Magnifique ,4.4
Magnifique ,5
"Je vous conseille de visiter, excellent endroit, bonne continuation 😍😍😍",5
"Une très bonne ambiance,  bon service malgré que les prix proposés au menu ne sont pas bien respectés ( shoot tequila mis à 9d, 10d fel addition/ jhin 7.5 à l'addition 10 d) ",4.2
"bonne ambiance ,juste problème d'aération ",2.4
"C'est vraiment merveilleux, ambiance excellente ",4.6
Un bon coin pour prendre un café et jouer au jeux de cartes ou pour regarder des match de foot 😁,4
Il est super,5
Très bonne nourriture avec des éléments frais et un service rapide. ,4.2
"Très bonne ambiance :D un accueil chaleureux 
Merci l’équipe sicarios 🔥🔥🔥",5
La base :D ma 2eme maison 🏠 ,4.4
Rien à dire sur le wax mais par rapport à la nouvelle carte. C'est juste très médiocre Jai goûté un peu à tout et c'est dégeulasse. ,2.8
La quantité n'est plus généreuse pâte aux camembert y'a plu de bacon en plus avec une demi rondelle de fromage ,3.8
Le meilleur resto 💙,5
L'accueil est vraiment nul,2.2
Trop chère au niveau de boisson ,2.8
La bouffe est bonne les prix sont adorables I recommend it!,4
Endroit chaleureux pour boire une tasse avec les potes,4.6
Sympa comme endroit,4
Sympa pour petit dej,4.4
"Bon endroit, service au top, cuisine 5*",4
Service et ambiance au top,5
C est un délice 😍,4.4
Un très bon petit déjeuner,4
Bon j'aime cette endroit il est très chaleureux surtt en été,4
C un endroit sympathique ,4
Mon meilleur endroit 😍,4.4
"Très mauvaise expérience :
•Accueil pas du tout chaleureux.
•Personnels très antipathiques.
•Rapport qualité/prix laisse à désirer.",1
"Une bonne expérience pour une rupture de jeûne :
• Accueil chaleureux.
• Bonne ambiance.
• Les plats sont délicieux.",4.4
Service très lent,3.2
Très correcte avec une bonne fréquentation,5
Bonne ambiance mais pas toujours.,2.2
Bonne ambiance mais pas tous les jours ,3.2
C est un bon plan entre amis 😉,3
"J'ai déjà essayé el dar, on sent déjà la qualité de service dès l'accueil. Le cadre est très convivial et très agréable et la cuisine est très bonne. C'est une expérience satisfaisante :) ",4.2
"Un endroit convivial avec un décor beau et authentique avec une vue hypnotisante, un accueil chaleureux, sans oublier la cuisine qui est bonne et originale, ça vaut le détour. ",4.4
"Un des meilleurs tacos de tunis, produits de qualité et tacos généreux ",4.2
J'aime tous j bien amusé le service et bon ,5
La pasta chic room est excellente. ,4
"Un endroit magnifique, tranquille et très beau",4.8
Mon endroit préféré sois c le seul salon ou je prends mon café mon petit dej ou même le soir pour manger ,4.4
Delicieux,3.4
"Ingrédients de qualité.  Ça se ressent dans l'assiette.
NON FUMEUR quel bonheur! Tellement rare en Tunisie.",5
Un bon endroit à recommander :).,3.8
Un coup de cœur 🤩🤩 .. excellent service et une vue à couper le souffle .,3.6
"Accueil rien à dire merci pour le ""sa7a chribtek "" fil entrée , service b9ina nestanew nos se3a bech jé serveur w ba3ed nos se3a o5ra bech jéb l commande , cuisine concernant konefa bnina barcha w aussi café turc haja behya , ambiance bande 3andha sono 9wey b façon obligé 3lik tesma3 w même pa ta7ki m3a elli m3ak , ya3tihom sa7a 3la l emplacement win s4ayrat yal3bou si non mehech blasa mta3 romdhan w de préférence y7asnou fi service ",2.4
Tres bon poutine,5
C'est un restaurant chic ,3.8
Le meilleure ,5
Délicieux ,4.4
Accueil chaleureux ,4.2
"Bon vue, prix cher, mauvaise acceuil de sécurité a la porte....",2.6
Ce restaurant est vraiment top. Je le conseille à n'importe qui. 👌👌,5
Le restaurant surtout les pizza ne sont pas très bonne. ,3.8
"Ce restaurant est très bon, l'assiette est généreuse et les serveurs sont à l'écoute et surtout la satisfaction client est très importante pour ce restaurant, donc je recommande top top ",4.6
"Une mauvaise expérience de rupture de jeune.. Sercice médiocre, pour un menu de 30 dt qualité des plats médiocre ",1.4
Top je le recommande,3.6
"Des, plats delecieux une quantité généreuse rapport qualité prix top",4.2
"Top ,mais un peu cher",4
Le restaurant est petit mais le tacos est délicieuse,2.8
"Un super coin pour travailler ou étudier. Calme, cosy et tranquille. J'adore! Ze best 💫",4.6
Un café cozy,4
"Les meilleurs petits-déjeuners , mon café américain 😍",4.8
"une experience sublime a chili's manar ppour la rupture ,de jeune",4.8
Ils sont ouverts pendant ramadan ,4
Une place calme et chic mais le service n'est pas au niveau.,2.6
Vraiment une très bonne place pour faire plaisir et oublier le stress  ,4.6
Très bien ,3.6
"Livraison de l'iftar a grand tunis. Prix raisonnable, de bons plats et des portions assez moyenne. Je recommende pour ceux qui ont la flemme pour cuisiner ou un soudain rendez-vous entre amis.",4
S'il vous plait je ne peux pas vous contacter.. Veuillez laisser un numèro disponible pour vous appeler. ,4
"buffet de rupture de jeune aussi délicieuses et variéeavec un accueil chaleureux et le cerise en top c le dessert pour aujourd'hui c'était un flan trop bon , le tt est seulement 29dt/personne ",4.6
Un peu trop chère concernant le prix de quelque article/menu/commande.,3.2
Vraiment bravo au chef Foued Frini et à tout le personnel du restaurent très bon plan de rupture du jeune ,5
J'espère qu'ils vont garder le même niveau ou l'améliorer ,4.2
"Un excellent accueil ... un menu succulent et surtout un super rapport qualité prix
Je le recommande vivement !!",4.8
"J'ai mangé pandant la rupture du jeûne ici et il avait un menu intéressant mais la bouffe était moyenne . Les entrées et dessert (kounefa) étaient bonnes mais le plat principale pas du tout . Kouskous sec et manque de goût et riz au fruit sec sans fruit sec et presque blanc ne contient pas d'épices ni de goût, accompagné par des brochettes mixte qui était contrairement bonne.
Rapport qualité prix . Assez cher ",2.6
Plat traditionnel délicieux . Service impeccable .,4.4
"Services médiocre, serveur impoli et ne respecte pas la clientèle et ne nous laisse jamais choisir sa place, pas de sélection trop de manque de respect par les ados qui viennent par de groups de plus de 5 et insultent a haute voix sans respect la présence des femmes et des enfants, Les prix sont trop chers  par rapport au service et là qualité. Vero gusto à déconseiller ! 👎",2.2
"Acceil chaleureux, service de qualité, personnel souriant et aimable.
Lieux propres, agencement très flexible selon clientèle. La boufe est très bonne et correspond bien aux promesses des photos sur les mures. Célérité dans les commandes.",4.4
Je me demande si vous acceptez les tickets resto ? :) ,5
Endroit avec du potentiel mais fais de l'à peu près. ,2
"Le fondant au chocolat est très bon, je le recommande !",4.6
Personnel chaleureux et repas délicieux. ,4
un magnifique endroit,5
Conseillé pour un groupe d'amis ,4
Conseillé pour un groupe d'amis ,4
J'ai essayé leur petit dej duo c'était bon et simple. L'emplacement est cozy. Le seul bémol c'est la climatisation qui n'existe pas. ,4.4
Très bien ,5
Des sandwichs assez délicieux ,4.4
Ma9rouna à recommander surtout pour ceux qui viennent tout juste de débarquer à Tunis ,4
"Service très médiocre à la limite. Des gamins à la caisse, qui font tout sauf prendre les commandes. A éviter si vous n'avez pas une grande envie de péter un plomb. 🙄",2.4
"•Accueil et service: le bar restau est sélectif ça c'est bien , service correct 
•Ambiance:on va dire tendance  pour des personnes matures 
•Cuisine: c est la ou je vais tout dire , ouallah vous allez avoir un orgasme culinaire je vous encourage d'avoir le fameux filet roquefort",0
"•Accueil et service: le bar restau est sélectif ça c'est bien , service correct 
•Ambiance:on va dire tendance  pour des personnes matures 
•Cuisine: c est la ou je vais tout dire , ouallah vous allez avoir un orgasme culinaire je vous encourage d'avoir le fameux filet roquefort",4
"Il est vrai que le café est situé dans un endroit populaire et très active, cependant le respect de la zone non fumeur, le sourire et le bon goût du café y sont. ",4.6
"Un service un peu long et classique, mais une vue à en couper le souffle et de laquelle on ne s'ennuie pas.
Les toilettes sont bien entretenues et les tables débarrassée asap. Je ne recommande pas leur eau de vie et cocktails, mais quelques bières en début d'après midi sont un must. ",4.2
Un très bon endroit pour un couple,4.4
J'adore votre service et je vous remercie ,5
Un endroit traditionnel très agréable... restaurant propre et personnel très attentionné... rupture de jeûne très bon avec une belle ambiance... très bon rapport qualité prix... c vrai que le salon de thé est un peu cher mais l ambiance est au top,5
Toppppp un très bon plan.... Rapport qualité quantité prix 🔝🔝🔝🔝,5
Très bien,4
Rapport qualité prix très bien,3.6
"Très déçu rapport qualité prix 0/10
Des pâte avec des crevettes matchofhom ken avec un télescope
quantité minime pas généreuse du tout
Service nul",2
"Personnel très accueillant, plats relevés par des goux bien épicés... un délice pour le palais.
Les enfants ont adoré, nous aussi.",4.6
Rapport qualité prix 0,3.2
Accueil chaleureux très bon berger ,3.8
Cadre agréable,3.8
une vue superbe w el be9i a la poubelle,1
La bouffe est excellente sauf les salades. ,3.4
Une bonne ambiance un endroit spacieux  serveur serviable et gentille ,3.8
"Le burger 👌
Le seul bémol trop petit et pas de clim. Sinon tout est parfait. 😍",4.6
Les plats sont délicieux et l'ambiance est magnifique! Je recommande vivement.,4
"Un synonyme pour médiocre? Musique gravement brouillante, café brûlé, service très long, hygiène? Je vous laisse juger.
Je passe.",1.4
"Tres belle vue, tres bon service",4
